FBK,,D,Z,Flatstart20,hmm44,,,0,0,1343,1343,60.94,41.44,31494,3461,16729,10078,51684
FBK,,D,Z,Flatstart20,hmm64,,,0,0,1343,1343,63.26,44.48,32694,3129,15861,9707,51684
FBK,,D,Z,Flatstart20,hmm84,,,0,0,1343,1343,64.73,45.81,33455,2994,15235,9779,51684
FBK,,D,Z,Flatstart20,hmm104,,,0,0,1343,1343,65.98,46.82,34099,2824,14761,9898,51684
FBK,,D,Z,Flatstart20,hmm124,,,0,0,1343,1343,66.67,48.14,34460,2788,14436,9577,51684
FBK,,D,Z,Flatstart20,hmm144,,,0,0,1343,1343,67.59,49.08,34932,2701,14051,9567,51684
FBK,,D,Z,Flatstart20,hmm164,,,0,0,1344,1344,67.94,49.53,35140,2680,13901,9522,51721
FBK,,D,Z,Flatstart20,hmm184,,,0,0,1344,1344,68.41,50.17,35383,2619,13719,9432,51721
FBK,,D,Z,Flatstart20,hmm204,,,0,0,1344,1344,68.86,50.65,35617,2581,13523,9421,51721
MFC,,,Z,Init20,hmm24,,,0,0,1341,1341,58.41,41.19,30141,4462,17000,8884,51603
MFC,,,Z,Init20,hmm44,,,0,0,1344,1344,59.91,42.18,30986,4161,16574,9169,51721
MFC,,,Z,Init20,hmm64,,,0,0,1344,1344,61.14,42.9,31622,3993,16106,9432,51721
MFC,,,Z,Init20,hmm84,,,0,0,1344,1344,61.85,43.4,31992,3899,15830,9543,51721
MFC,,,Z,Init20,hmm104,,,0,0,1344,1344,62.53,43.69,32341,3758,15622,9742,51721
MFC,,,Z,Init20,hmm124,,,0,0,1344,1344,62.92,43.95,32543,3733,15445,9813,51721
MFC,,,Z,Init20,hmm144,,,0,0,1344,1344,63.24,44.28,32707,3708,15306,9804,51721
MFC,,,Z,Init20,hmm164,,,0,0,1344,1344,63.39,44.44,32785,3659,15277,9798,51721
MFC,,,Z,Init20,hmm184,,,0,0,1344,1344,63.74,44.74,32968,3629,15124,9827,51721
MFC,,,Z,Init20,hmm204,,,0,0,1344,1344,63.87,44.94,33033,3615,15073,9790,51721
MFC,,D,Z,Init20,hmm24,,,0,0,1343,1343,64.67,48.17,33412,3680,14573,8525,51665
MFC,,D,Z,Init20,hmm44,,,0,0,1344,1344,67.27,51.71,34791,3451,13479,8048,51721
MFC,,D,Z,Init20,hmm64,,,0,0,1344,1344,69.12,53.91,35747,3204,12770,7863,51721
MFC,,D,Z,Init20,hmm84,,,0,0,1344,1344,70.35,55.37,36384,3077,12260,7744,51721
MFC,,D,Z,Init20,hmm104,,,0,0,1344,1344,71.07,56.13,36756,3038,11927,7724,51721
MFC,,D,Z,Init20,hmm124,,,0,0,1344,1344,71.7,57.1,37086,2912,11723,7555,51721
MFC,,D,Z,Init20,hmm144,,,0,0,1344,1344,72.13,57.61,37305,2888,11528,7506,51721
MFC,,D,Z,Init20,hmm164,,,0,0,1344,1344,72.41,58.19,37453,2830,11438,7356,51721
MFC,,D,Z,Init20,hmm184,,,0,0,1344,1344,72.84,58.84,37675,2804,11242,7240,51721
MFC,,D,Z,Init20,hmm204,,,0,0,1344,1344,73.03,59.11,37770,2798,11153,7197,51721
MFC,,D,Z,Z,hmm24,,,0,0,1344,1344,67.09,48.64,34699,2895,14127,9543,51721
MFC,,D,Z,Z,hmm44,,,0,0,1344,1344,69.81,52.91,36109,2751,12861,8742,51721
MFC,,D,Z,Z,hmm64,,,0,0,1344,1344,71.23,54.88,36840,2596,12285,8453,51721
MFC,,D,Z,Z,hmm84,,,0,0,1344,1344,72.27,56.28,37380,2490,11851,8270,51721
MFC,,D,Z,Z,hmm104,,,0,0,1344,1344,72.94,56.95,37724,2398,11599,8271,51721
MFC,,D,Z,Z,hmm124,,,0,0,1344,1344,73.77,57.65,38157,2316,11248,8341,51721
MFC,,D,Z,Z,hmm144,,,0,0,1344,1344,74.16,58.38,38357,2281,11083,8164,51721
MFC,,D,Z,Z,hmm164,,,0,0,1344,1344,74.48,59.1,38524,2225,10972,7956,51721
MFC,,D,Z,Z,hmm184,,,0,0,1344,1344,75.04,59.8,38809,2172,10740,7882,51721
MFC,,D,Z,Z,hmm204,,,0,0,1344,1344,75.22,60.13,38902,2181,10638,7802,51721
MFC,,D,Z,Z,hmm24,,,0,0,1343,1343,67.49,49.33,34869,2932,13861,9385,51662
MFC,,D,Z,Z,hmm44,,,0,0,1344,1344,69.61,53.17,36002,2808,12911,8504,51721
MFC,,D,Z,Z,hmm64,,,0,0,1344,1344,71.08,54.96,36763,2671,12287,8336,51721
MFC,,D,Z,Z,hmm84,,,0,0,1344,1344,72.53,56.74,37515,2509,11697,8168,51721
MFC,,D,Z,Z,hmm104,,,0,0,1344,1344,73.31,57.59,37916,2451,11354,8128,51721
MFC,,D,Z,Z,hmm124,,,0,0,1344,1344,74.02,58.72,38283,2409,11029,7910,51721
MFC,,D,Z,Z,hmm144,,,0,0,1344,1344,74.53,59.39,38549,2324,10848,7834,51721
MFC,,D,Z,Z,hmm164,,,0,0,1344,1344,75.01,60.12,38795,2246,10680,7701,51721
MFC,,D,Z,Z,hmm184,,,0,0,1344,1344,75.38,60.56,38989,2223,10509,7665,51721
MFC,,D,Z,Z,hmm204,,,0,0,1344,1344,75.51,60.77,39052,2198,10471,7623,51721
MFC,,D,Z,Flatstart20,hmm24,,,0,0,1343,1343,64.54,49.47,33343,3852,14470,7785,51665
MFC,,D,Z,Flatstart20,hmm44,,,0,0,1344,1344,66.9,52.32,34603,3583,13535,7543,51721
MFC,,D,Z,Flatstart20,hmm64,,,0,0,1344,1344,68.85,54.4,35611,3321,12789,7475,51721
MFC,,D,Z,Flatstart20,hmm84,,,0,0,1344,1344,70.09,55.63,36250,3201,12270,7478,51721
MFC,,D,Z,Flatstart20,hmm104,,,0,0,1344,1344,70.91,56.45,36676,3059,11986,7481,51721
MFC,,D,Z,Flatstart20,hmm124,,,0,0,1344,1344,71.45,57.12,36954,2973,11794,7413,51721
MFC,,D,Z,Flatstart20,hmm144,,,0,0,1344,1344,72.01,57.66,37243,2878,11600,7422,51721
MFC,,D,Z,Flatstart20,hmm164,,,0,0,1344,1344,72.49,58.33,37491,2802,11428,7322,51721
MFC,,D,Z,Flatstart20,hmm184,,,0,0,1344,1344,72.71,58.72,37606,2784,11331,7234,51721
MFC,,D,Z,Flatstart20,hmm204,,,0,0,1344,1344,73.11,59.15,37815,2765,11141,7223,51721
MFC,,,Z,Flatstart20,hmm24,,,0,0,1340,1340,58.97,39.72,30414,4073,17091,9927,51578
MFC,,,Z,Flatstart20,hmm44,,,0,0,1344,1344,60.37,41.19,31222,3919,16580,9918,51721
MFC,,,Z,Flatstart20,hmm64,,,0,0,1344,1344,61.22,42.23,31666,3872,16183,9824,51721
MFC,,,Z,Flatstart20,hmm84,,,0,0,1344,1344,61.81,42.97,31970,3826,15925,9747,51721
MFC,,,Z,Flatstart20,hmm104,,,0,0,1344,1344,62.43,43.46,32292,3733,15696,9816,51721
MFC,,,Z,Flatstart20,hmm124,,,0,0,1344,1344,62.78,43.73,32472,3605,15644,9852,51721
MFC,,,Z,Flatstart20,hmm144,,,0,0,1344,1344,63.2,43.96,32690,3557,15474,9954,51721
MFC,,,Z,Flatstart20,hmm164,,,0,0,1344,1344,63.48,44.13,32833,3535,15353,10006,51721
MFC,,,Z,Flatstart20,hmm184,,,0,0,1344,1344,63.68,44.24,32937,3506,15278,10055,51721
MFC,,,Z,Flatstart20,hmm204,,,0,0,1344,1344,63.95,44.42,33074,3489,15158,10098,51721
FBK,,,Z,Init20,hmm24,-CORETEST,,0,0,189,189,54.38,35.79,3950,689,2625,1350,7264
FBK,,,Z,Init20,hmm44,-CORETEST,,0,0,191,191,56.05,36.74,4091,620,2588,1409,7299
FBK,,,Z,Init20,hmm64,-CORETEST,,0,0,192,192,57.29,37.39,4213,585,2556,1463,7354
FBK,,,Z,Init20,hmm84,-CORETEST,,0,0,192,192,58.25,36.76,4284,572,2498,1581,7354
FBK,,,Z,Init20,hmm104,-CORETEST,,0,0,192,192,58.88,36.85,4330,528,2496,1620,7354
FBK,,,Z,Init20,hmm124,-CORETEST,,0,0,192,192,59.48,37.61,4374,539,2441,1608,7354
