MFC,A,D,Z,Init20,hmm124,INSWORD,-32,CORETEST,0,192,192,62.44,61.37,4592,1403,1359,79,7354
MFC,A,D,Z,Init20,hmm124,INSWORD,-16,CORETEST,0,192,192,67.54,64.35,4967,865,1522,235,7354
MFC,A,D,Z,Init20,hmm124,INSWORD,-8,CORETEST,0,192,192,69.98,63.31,5146,606,1602,490,7354
MFC,A,D,Z,Init20,hmm124,INSWORD,-4,CORETEST,0,192,192,71.21,61.41,5237,484,1633,721,7354
MFC,A,D,Z,Init20,hmm124,INSWORD,-2,CORETEST,0,192,192,71.87,59.4,5285,427,1642,917,7354
MFC,A,D,Z,Init20,hmm124,INSWORD,0,CORETEST,0,192,192,72.57,57.18,5337,358,1659,1132,7354
MFC,A,D,Z,Init20,hmm124,INSWORD,2,CORETEST,0,192,192,73.25,54.28,5387,301,1666,1395,7354
MFC,A,D,Z,Init20,hmm124,INSWORD,4,CORETEST,0,192,192,74.03,50.61,5444,251,1659,1722,7354
MFC,A,D,Z,Init20,hmm124,INSWORD,6,CORETEST,0,192,192,74.59,45.85,5485,218,1651,2113,7354
MFC,A,D,Z,Init20,hmm144,INSWORD,-32,CORETEST,0,192,192,62.14,61.16,4570,1423,1361,72,7354
MFC,A,D,Z,Init20,hmm144,INSWORD,-16,CORETEST,0,192,192,67.68,64.74,4977,852,1525,216,7354
MFC,A,D,Z,Init20,hmm144,INSWORD,-8,CORETEST,0,192,192,70.04,63.87,5151,602,1601,454,7354
MFC,A,D,Z,Init20,hmm144,INSWORD,-4,CORETEST,0,192,192,71.55,61.63,5262,480,1612,730,7354
MFC,A,D,Z,Init20,hmm144,INSWORD,-2,CORETEST,0,192,192,72.03,59.61,5297,430,1627,913,7354
MFC,A,D,Z,Init20,hmm144,INSWORD,0,CORETEST,0,192,192,72.55,57.22,5335,368,1651,1127,7354
MFC,A,D,Z,Init20,hmm144,INSWORD,2,CORETEST,0,192,192,73.25,54.61,5387,299,1668,1371,7354
MFC,A,D,Z,Init20,hmm144,INSWORD,4,CORETEST,0,192,192,73.93,50.94,5437,247,1670,1691,7354
MFC,A,D,Z,Init20,hmm144,INSWORD,6,CORETEST,0,192,192,74.64,46.46,5489,201,1664,2072,7354
MFC,A,D,Z,Init20,hmm164,INSWORD,-32,CORETEST,0,192,192,62.74,61.93,4614,1413,1327,60,7354
MFC,A,D,Z,Init20,hmm164,INSWORD,-16,CORETEST,0,192,192,68.32,65.43,5024,838,1492,212,7354
MFC,A,D,Z,Init20,hmm164,INSWORD,-8,CORETEST,0,192,192,70.59,64.39,5191,604,1559,456,7354
MFC,A,D,Z,Init20,hmm164,INSWORD,-4,CORETEST,0,192,192,71.57,62.02,5263,474,1617,702,7354
MFC,A,D,Z,Init20,hmm164,INSWORD,-2,CORETEST,0,192,192,72.22,60.43,5311,418,1625,867,7354
